"air conditioner": "noun", "hawa dene wala"
"air": "noun", "hawa"
"backpack": "noun", "basta"
"banana": "noun", "(kela)"
"bathtub": "noun", "jacuzi"
"bed": "noun", "palang"
"bicycle": "noun", "cycle"
"blanket": "noun", "razai"
"boat": "noun", "kashti"
"book": "noun", "(kitab)"
"boots": "noun", "jootey"
"bridge": "noun", "pul"
"briefcase": "noun", "briefcase"
"broom": "noun", "jhaadu"
"brush": "noun", "brush"
"bucket": "noun", "baalti"
"bus": "noun", "bus"
"calculator": "noun", "calculator"
"camera": "noun", "camera"
"car": "noun", "gaadi"
"carrot": "noun", "(gajar)"
"cat": "noun", "(billi)"
"ceiling": "noun", "chhat"
"chair": "noun", "(kursi)"
"chair": "noun", "kursi"
"climbing": "verb", "charhna"
"clock": "noun", "ghari"
"cloud": "noun", "badal"
"coat": "noun", "coat"
"comb": "noun", "baal bnane wala "
"computer": "noun", "computer"
"cooker": "noun", "khana bnaney wala"
"curtain": "noun", "parda"
"deodorant": "noun", "khooshbu"
"dog": "noun", "(kutta)"
"door": "noun", "darwaza"
"dress": "noun", "kapre"
"dustpan": "noun", "dustpan"
"earth": "noun", "zameen"
"elevator": "noun", "lift"
"eraser": "noun", "mitane wala"
"fan": "noun", "pankha"
"faucet": "noun", "nalka"
"fire": "noun", "aag"
"floor": "noun", "farsh"
"flower": "noun", "phool"
"garbage bin": "noun", "kachra dabba"
"gardening tools": "noun", "baghban ki sahulat"
"gloves": "noun", "gloves"
"glue": "noun", "gond"
"gorgeous": "adjective", "khoobsurat"
"hair dryer": "noun", "baal sukhane wala"
"hat": "noun", "topi"
"heater": "noun", "heater"
"helicopter": "noun", "helicopter"
"house": "noun", "(ghar)"
"jacket": "noun", "jacket"
"jeans": "noun", "jeans"
"keyboard": "noun", "keyboard"
"lamp": "noun", "balb"
"light": "noun", "roshni"
"lightning": "noun", "bijli"
"lion": "noun", "(sher)"
"lotion": "noun", "lotion"
"microphone": "noun", "microphone"
"microwave": "noun", "khana garam krne wala"
"mirror": "noun", "aaina"
"monitor": "noun", "monitor"
"moon": "noun", "chand"
"mop": "noun", "paucha"
"motorcycle": "noun", "motorcycle"
"mountain": "noun", "pahar"
"mouse": "noun", "mouse"
"needle": "noun", "sui"
"notebook": "noun", "kitab"
"oven": "noun", "tandoor"
"pants": "noun", "pants"
"pen": "noun", "(qalam)"
"pencil": "noun", "pencil"
"perfume": "noun", "itr"
"pillow": "noun", "takiya"
"pins": "noun", "piney"
"plane": "noun", "hawai jahaz"
"plants": "noun", "paude"
"printer": "noun", "printer"
"purse": "noun", "purse"
"radio": "noun", "radio"
"rain": "noun", "baarish"
"rainbow": "noun", "qaus-e-quzah"
"razor": "noun", "razor"
"refrigerator": "noun", "fridge"
"river": "noun", "nadi"
"road": "noun", "sadak"
"rocket": "noun", "rocket"
"roof": "noun", "chhat"
"ruler": "noun", "ruler"
"sand": "noun", "rait"
"sandals": "noun", "sandals"
"satellite": "noun", "satellite"
"scarf": "noun", "dupata"
"scissors": "noun", "kainchi"
"seagull": "noun", " (saag ki chidiya)"
"sewing machine": "noun", "silai machine"
"shampoo": "noun", "shampoo"
"sharpener": "noun", "tarashne wala"
"ship": "noun", "jahaz"
"shirt": "noun", "ksmeez"
"shoes": "noun", "jootey"
"shorts": "noun", "nikar"
"shower": "noun", "nalka"
"sink": "noun", "sink"
"skirt": "noun", "nikar"
"sky": "noun", "aasman"
"slippers": "noun", "chapal"
"snow": "noun", "barf"
"soap": "noun", "sabun"
"socks": "noun", "jarabien"
"sofa": "noun", "sofa"
"speaker": "noun", "speaker"
"spill": "verb", "girana"
"stair": "noun", "sidhi"
"star": "noun", "sitara"
"storm": "noun", "toofan"
"sun": "noun", "sooraj"
"sunglasses": "noun", "sunglasses"
"sweater": "noun", "sweater"
"t-shirt": "noun", "kameez"
"table": "noun", " (mez)"
"table": "noun", "mez"
"tape": "noun", "tape"
"telephone": "noun", "telephone"
"television": "noun", "television"
"thread": "noun", "dhaga"
"thunder": "noun", "garaj"
"toilet": "noun", "ghusalkhana"
"toothbrush": "noun", "toothbrush"
"toothpaste": "noun", "toothpaste"
"towel": "noun", "towel"
"train": "noun", "train"
"trash bag": "noun", "kachra bag"
"tree": "noun", "darakht"
"truck": "noun", "truck"
"umbrella": "noun", "chatri"
"wall": "noun", "deewar"
"wallet": "noun", "batwa"
"watch": "verb", "dekhna"
"water": "noun", "paani"
"window": "noun", "khidki"
"working": "verb", "kaam krna"
"abandon": "verb", "chhodna"
"abruptly": "adverb", "achanak"
"abundant": "adjective", "bohot"
"accept": "verb", "qubool karna"
"accidentally": "adverb", "qismat se"
"accomplish": "verb", "paana"
"accordingly": "conjunction", "is liye"
"accordingly": "conjunction", "mutaabiq"
"achieve": "verb", "haasil karna"
"acquire": "verb", "haasil karna"
"act": "verb", "amal karna"
"actually": "adverb", "asal mein"
"adapt": "verb", "mutabiq banana"
"add": "verb", "shamil karna"
"adjust": "verb", "mutabiq karna"
"admire": "verb", "pasand karna"
"adorable": "adjective", "pyara"
"adore": "verb", "chahna"
"advise": "verb", "salah dena"
"affirm": "verb", "tasdeeq karna"
"afraid": "adjective", "dara hua"
"afterward": "conjunction", "baad mein"
"agile": "adjective", "chust"
"agree": "verb", "itifaq karna"
"aid": "verb", "madad karna"
"alert": "adjective", "hoshiyaar"
"alert": "verb", "hoshiyaar karna"
"all the same": "conjunction", "phir bhi"
"allege": "verb", "dawa karna"
"alligator": "noun", " (alligator)"
"allow": "verb", "ijazat dena"
"allowing that": "conjunction", "diya gaya k"
"alpaca": "noun", " (alpaca)"
"although": "conjunction", "bawajood k"
"always": "adverb", "hamesha"
"amble": "verb", "halki si chalna"
"amuse": "verb", "maza lena"
"amused": "adjective", "mazaq mein"
"anaconda": "noun", " (anaconda)"
"analyze": "verb", "tajziya karna"
"ancient": "adjective", "qadeem"
"and yet": "conjunction", "aur phir bhi"
"and": "conjunction", "aur"
"angrily": "adverb", "gusse se"
"angry": "adjective", "gusse mein"
"announce": "verb", "elam karna"
"annoy": "verb", "tang karna"
"answer": "verb", "jawab dena"
"antelope": "noun", " (antelope)"
"anxiously": "adverb", "be chaini se"
"apologize": "verb", "maafi mangna"
"appear": "verb", "zahir hona"
"applaud": "verb", "taliyan bajana"
"apple": "noun", " (saib)"
"appreciate": "verb", "qadar karna"
"approve": "verb", "manzoor karna"
"argue": "verb", "bahas karna"
"arrange": "verb", "tarteeb dena"
"arrest": "verb", "giraftar karna"
"arrive": "verb", "pohanch jana"
"as a result": "conjunction", "is nateeje mein"
"as long as": "conjunction", "jab tak"
"ashamed": "adjective", "sharaminda"
"ask": "verb", "sawaal karna"
"assert": "verb", "daawa karna"
"assuming": "conjunction", "maan lo k"
"assure": "verb", "yakeen dilana"
"at any rate": "conjunction", "kisi bhi surat mein"
"attach": "verb", "jorna"
"attack": "verb", "hamla karna"
"attempt": "verb", "koshish karna"
"attend": "verb", "shirkat karna"
"attract": "verb", "khenchna"
"average": "adjective", "aam"
"avoid": "verb", "bachna"
"awake": "verb", "jagna"
"awesome": "adjective", "shaandaar"
"awkwardly": "adverb", "be had"
"babble": "verb", "bak bak karna"
"back": "verb", "sahara dena"
"badly": "adverb", "bure taur par"
